OTUID,006W4,010W4,014W4,015W4,016W4,017W4,018W4,103W4,104W4,105W4,106W4,107W4,108W4,109W4
b6d4c133e18a45d73ce1eeced86336e6,162,0,0,101,0,0,81,0,0,60,87,205,0,0
8740b51be2080b085bafcc5e8f425d83,0,0,0,0,0,0,0,0,0,0,0,105,244,0
fd01400f27508a89ac8359371055e56c,141,0,0,0,0,0,0,0,0,0,0,0,0,151
284ee595350d6fa33634b75de3746e91,0,33,0,0,0,0,0,0,0,0,0,0,0,0
8f0ee3adde51fb2dec4c0b8702f6af03,0,0,0,0,0,0,0,18,0,0,0,0,0,0
5af5bf17d0a5ef239d2a3bb1630dd433,0,0,34,0,0,0,0,0,0,0,0,0,0,0
2f11909e8086f147c4fcc4d986b6b295,0,0,126,0,0,84,142,0,0,0,0,0,0,0
7579b4e85aad29f3be8220c825053977,249,0,0,0,0,0,0,0,0,0,0,0,0,0
9396c78f7315eef029a8c31043d487de,0,0,0,0,90,0,0,0,0,0,198,0,0,0
90bf835546c3b1000470c1736232d983,0,159,0,0,0,130,0,0,367,0,0,0,0,0
662dc33a051ee6cec145d4837d6bb273,740,0,0,0,0,0,0,0,0,0,0,0,0,0
b06b829b7b36406553655011b7c0c1b4,0,216,0,51,0,0,0,0,0,0,0,0,0,0
f76072a034341437c606c359f22f4c44,0,0,0,0,119,0,0,0,0,0,0,0,73,53
3efca481c4fb1ce32ea9c194f26353db,0,87,43,0,0,0,51,0,0,371,0,0,1237,0
14c064c4a374798ef2e6f1b5f9f5405f,153,0,0,0,142,0,171,0,0,152,0,116,0,0
0f986cb6e08e8e0e27a631694e0ee608,0,0,0,0,0,0,0,0,0,0,0,0,0,205
3e145e5b89e14039c03adc4c52fd4886,0,335,0,0,0,0,0,0,0,0,0,409,101,0
5270ecc0cc323e0f2fe5b2f4d1279903,0,42,0,0,0,0,0,0,0,452,0,0,1102,0
88c1c1e77e6fd871a05a5b1938291b76,0,269,0,0,0,0,0,0,0,0,0,0,127,0
ac700ec758aca53a78f40b85a894a5ec,0,0,0,0,113,0,0,0,0,119,0,0,80,0
e12fcad9d10849440a313cda1470f8df,0,0,0,0,64,287,0,0,0,0,0,0,58,0
3cc0098b43cde22db544a6c71877808f,0,0,0,0,0,78,0,0,0,0,0,0,146,0
3c51390a286fde6636962cf271090fa4,0,200,0,154,0,0,0,0,0,0,0,0,0,0
9ac6c70de599380f3bbb301a4462a7bf,227,166,0,0,0,0,0,0,97,0,0,358,0,0
4d4489f9009d5e29cecef45b6ff8588a,81,0,0,118,67,0,86,0,46,0,60,0,0,0
a7fe69a7f776ab22296c33390f8d87da,0,242,0,166,0,0,0,0,0,0,0,0,0,0
8f79a96adf5d4599bfaf5ca7b17c77f1,218,0,148,0,0,0,135,0,0,0,0,59,0,0
2230f83a69b3ad6df956609e5196ff1c,0,346,0,0,0,0,0,0,0,0,0,0,0,0
94584d2e4a6c39a7ca14109eb87a7e26,103,0,127,0,43,0,0,0,0,0,0,0,111,0
2ae9b8a5b73030035131a0d8fcc18bfb,0,0,0,0,0,0,0,0,104,0,0,0,0,0
1e1ba2879ee4a670cf90513c9f9b78dc,150,54,166,0,0,0,0,0,0,0,0,0,161,0
15e9dae02def1fa7d8f5f78c942daf2b,189,0,0,0,272,0,212,0,0,106,243,0,0,0
1c1a2c5fb789c1796dbabb9873125298,0,102,0,0,0,0,0,0,0,0,0,0,0,0
dafc8732aabd6e89a6e9c6490e5d46fc,141,0,0,0,336,0,0,0,0,0,0,0,0,0
464b9efdbc0fee6448df45444699d85b,0,0,0,10,0,0,0,0,0,0,0,0,0,0
a8340b0c218918319ba40833b8b031b8,104,0,0,0,74,0,110,0,0,0,0,239,0,0
07e923ec80c7aee226645e232aa105e7,0,288,0,0,0,0,0,0,0,0,0,0,0,0
ae6d6e633b57679515575184e5f85b05,138,0,0,72,0,0,70,0,0,151,79,152,0,0
e9d2f538d8de6b77c23f9dadaa036807,158,0,0,0,0,0,0,0,0,0,0,0,0,0
9a7111af61e89d3af766f5a10d4df8f2,280,0,0,0,0,0,0,0,0,0,81,70,0,0
9e2604f7c87c8903c9da24810313b0ff,54,0,0,0,0,0,136,0,0,79,0,126,0,0
b8824edb686575b5062a8de3c0337b5d,90,110,209,136,0,0,0,0,0,0,0,0,69,0
247bb4fa9bd71adf5729bbf6c9f233b9,0,0,0,0,0,0,0,0,0,94,0,0,87,0
22896d79c7b801b507c7506483e3d3f1,0,0,0,0,0,0,0,0,0,0,101,0,0,0
307953ba6fce4d052016fb38f5bc0bd9,0,0,0,0,0,0,0,0,0,271,0,0,0,0
e12051cb8aa81f7d0ba1d37a3206504c,599,0,0,0,0,0,0,0,0,0,0,0,0,0
4ea5712a9ae3e63093cbb6cfbb09face,187,0,0,0,0,0,0,0,0,252,0,53,996,0
4ecc1dbec7181dcf52705ac3ca0076eb,0,0,0,0,0,0,0,0,108,345,0,0,870,0
8090f3655cb903fd9eb62b1f9d5f1f68,0,0,73,0,0,0,0,0,0,206,0,0,1140,0
