OTUID,S6,S10,S11,S15,S22,S23,S25,S26,S28
4ffe7a36d3e9b9147a697b6391bb1a17,0,0,0,0,0,0,111,0,0
e08cdc1534af11f87ded2889e9e98d4c,168,0,0,0,0,0,0,0,0
5eb11f2c8df650c514a9a29540162ffd,0,0,0,0,0,0,111,0,0
a983799f4843e1a9d165a8bef1235858,44,0,0,202,0,0,0,0,165
1fa4d1bc4fa79be90a75ac329baf1507,542,0,0,0,0,0,0,0,0
eeae07184e5e893dc443e46819033764,0,103,0,0,0,0,0,13,0
ba124078bf5f5bd1032cb837588a57fe,0,0,188,0,0,0,0,0,0
f5240bdfbbfb5d4aaebfeedb19236e02,0,0,0,0,0,335,0,0,0
6889a4f7c0d5b054d3757ca3c9c883ce,291,0,0,0,0,0,0,0,0
2e4f52eac36b26a01af4a0fc7aa78edd,0,1356,0,0,0,128,0,0,0
85cfe0f5719b8312f3084304db49e0da,0,0,0,178,0,0,0,0,0
7dceb3546dc25073d67b411416370126,0,0,0,164,0,0,0,0,0
e8c629543af3534f9d5e6d8025d8e790,0,0,0,0,0,0,0,13,0
fc2aceb6ee2d8b363a05f2035fd5a9db,0,0,0,130,0,0,0,0,0
b9cd20ee38e0e7699e9dcd7807adc7a3,0,0,194,0,0,0,0,48,0
27e6f176dd1e70fef1a9f755b4890db1,0,0,0,179,50,0,0,0,0
3ed5390bceefb424cbac6aaecf10e7b3,0,0,0,126,0,0,0,0,0
25c5933dd6bcdb24f654fd12a4a57ca1,242,0,0,0,71,0,0,0,0
d1453db83a1cbf65b59df9193187217d,0,0,0,0,0,0,183,0,0
5bfe6c5c471790aba34aae36c10771b3,0,0,0,80,0,0,0,0,0
6dbeaca5516935f0c2e9c8b07aa4d43d,0,0,0,291,0,0,0,0,0
be2f4e017534fe515003855f432d0cd2,0,0,0,0,67,0,0,0,0
ef30c8ac907393ad0a378a08d336b35a,223,0,0,0,0,0,0,0,0
3387ae2a0c84e3c0837e5f2ffb2a69af,0,0,152,0,0,0,0,0,0
249d2a3f560ad93678459c11f84ba721,0,1931,0,0,0,0,0,0,0
bc8c9125fa090e1d8bc19bfa99395b1a,0,0,0,0,0,0,203,0,0
2219184f554b7ef1fdcce364ed40c146,145,0,0,0,0,103,0,0,0
06c455ca1a5e8aaadad3a503698b2c27,9,0,0,0,0,0,0,0,0
5fe266e2710d52e46fd8d1f52caf4848,264,0,0,0,0,0,0,0,0
e5403356349f1325ee0334d481f5c845,315,0,0,0,0,35,0,0,0
98d85850fdc1de580f3305eefb4ae9ea,0,0,0,0,0,0,104,0,0
037d0e14fc68639e3209d344501ddae1,0,0,0,129,0,0,0,0,0
c42a72e8c63206c9f10f630d81a08830,0,0,0,199,0,0,0,0,0
cf2c9351fa7e5451ee1bc227bf6ccb7c,0,0,0,0,0,0,0,183,0
b021e81c3b7c4d8a1af3e2cefa3dcda1,0,0,0,0,0,0,263,0,0
59d4191fad3002d3ccd344a69166f61e,0,0,0,0,0,0,163,0,0
b2bafc29447c1eebc4aa9f9fc401e45e,0,0,0,198,0,0,0,0,0
3516d81a9d44137fe0e14ec643811182,0,0,0,112,0,0,374,0,0
1aba5493e44d6ce3897b656d92f149ed,0,0,0,0,0,26,0,0,0
7c64b5dfdf71605f17552a86e0f8cf20,0,120,166,0,0,0,0,0,0
053f32196ba91e4a04d7af452c160b89,0,203,0,0,0,0,0,0,0
93dd777bb22fdf04e43d0617bb1c19c4,0,0,0,57,0,0,0,0,0
b20668a6e863d07a12a33578954e3ae9,0,1482,0,0,0,0,0,0,0
284ee595350d6fa33634b75de3746e91,0,0,0,0,0,0,104,0,0
8bd704bc24b4ed9e271cee9ec6234efc,165,0,0,0,0,0,0,0,0
2f11909e8086f147c4fcc4d986b6b295,0,0,0,158,0,0,0,0,0
7579b4e85aad29f3be8220c825053977,0,0,146,0,0,0,0,0,0
209b9457ff38b41c1f2c26fda2fc1d6e,73,0,0,0,0,0,0,0,0
a583c1294d548d0fec349b941c53285b,136,0,0,0,0,70,0,0,0
83a68c49965eca29ba72a53f4908ad10,0,0,0,0,0,0,196,0,0
