OTUI,006W2,012W2,014W2,015W2,016W2,017W2,018W2,103W2,104W2,105W2,107W2,108W2,109W2
06c455ca1a5e8aaadad3a503698b2c27,0,0,0,0,0,0,0,0,0,0,0,158,0
5fe266e2710d52e46fd8d1f52caf4848,0,0,66,0,0,0,0,0,0,0,0,0,0
e5403356349f1325ee0334d481f5c845,0,0,23,0,0,0,0,0,0,0,0,0,0
98d85850fdc1de580f3305eefb4ae9ea,0,0,0,0,0,0,0,0,0,0,0,0,48
149f654eaa5f4e13a834f2930aee5054,202,0,0,0,0,0,0,0,0,0,0,0,0
b021e81c3b7c4d8a1af3e2cefa3dcda1,0,0,0,0,0,0,0,0,0,0,0,0,122
473f1f5813498835dbfbbec73b7675c7,0,0,0,0,0,0,0,0,0,0,329,0,0
59d4191fad3002d3ccd344a69166f61e,0,0,0,0,0,0,0,0,0,0,0,0,163
fcec236cf267db7d1be12d7c4bb53841,251,0,0,0,0,0,0,0,0,0,0,0,0
8a8b6867cc1ed790997d322a1e398231,0,0,0,0,0,0,0,0,0,0,0,0,184
3516d81a9d44137fe0e14ec643811182,0,0,0,0,0,0,0,36,0,0,0,0,0
6e15578110449aee7c05b63ace6c2725,0,0,0,0,0,0,0,265,0,0,0,0,0
b244b09f1467651de0c3208e57a5f4a5,0,0,0,0,0,0,0,0,0,0,17,0,0
8d68758f74b3de6fa71190091edf6fde,0,0,0,0,0,0,0,0,0,0,0,0,91
faafc307e940d9827930c97ae73275b2,59,0,648,0,0,0,0,0,0,0,0,1684,0
284ee595350d6fa33634b75de3746e91,0,0,0,0,0,0,0,0,0,0,0,0,58
8f0ee3adde51fb2dec4c0b8702f6af03,0,0,0,0,0,53,0,0,0,0,0,0,34
8bd704bc24b4ed9e271cee9ec6234efc,165,0,0,0,0,0,0,0,0,0,113,0,0
935d3d886629e4dc101a1d73a35055bb,0,0,0,0,75,0,0,0,0,0,0,0,0
5af5bf17d0a5ef239d2a3bb1630dd433,0,0,0,0,0,0,0,0,0,0,42,0,0
2f11909e8086f147c4fcc4d986b6b295,0,0,0,0,69,0,0,0,0,0,0,0,0
7579b4e85aad29f3be8220c825053977,0,0,0,0,97,0,0,0,0,0,0,0,0
c3090d00991a5fa004478409bc70e0d0,0,0,0,0,0,0,0,0,0,0,287,0,0
209b9457ff38b41c1f2c26fda2fc1d6e,0,0,0,0,0,0,0,0,0,0,72,0,0
9396c78f7315eef029a8c31043d487de,0,0,0,0,285,0,0,0,0,0,0,0,0
a583c1294d548d0fec349b941c53285b,173,0,0,0,0,0,0,0,0,0,0,0,0
83a68c49965eca29ba72a53f4908ad10,0,0,0,0,0,0,0,0,0,0,0,0,78
f76072a034341437c606c359f22f4c44,0,0,0,0,189,0,0,84,0,0,0,0,0
aaf2e3f8483523218488d4adcb404404,0,0,0,80,0,0,0,0,0,0,0,0,0
56d779422279e6af16e30661add56ac0,27,0,0,0,0,0,0,0,0,0,0,0,0
3efca481c4fb1ce32ea9c194f26353db,204,0,0,0,0,0,0,0,0,0,0,0,0
14c064c4a374798ef2e6f1b5f9f5405f,0,0,0,0,184,0,0,0,0,0,0,0,0
0f986cb6e08e8e0e27a631694e0ee608,0,0,0,0,0,0,0,0,0,0,0,0,64
3e145e5b89e14039c03adc4c52fd4886,174,0,0,0,0,0,0,0,0,0,0,0,0
5270ecc0cc323e0f2fe5b2f4d1279903,0,0,0,0,0,0,0,0,0,56,0,0,0
88c1c1e77e6fd871a05a5b1938291b76,197,0,0,0,0,0,0,0,0,0,0,0,0
ac700ec758aca53a78f40b85a894a5ec,0,0,0,0,294,0,0,0,0,0,0,0,0
e12fcad9d10849440a313cda1470f8df,0,0,0,0,124,0,0,0,0,0,0,0,0
56d89eac3457ded073e9547c55d8fad4,154,0,0,0,0,0,0,0,0,0,0,0,0
a126c37fe75327527f71b6b147c67998,220,0,0,0,0,0,0,0,0,0,0,0,0
